,Abacate,Atemóia,Banana,Cajamanga,Coco,Goiaba,Graviola,Lichia,Limão,Mamão,Manga,Maracujá,Pitaia,Tangerina,Uva
Alexandre de Gusmão,V,V,V,F,F,V,V,F,V,F,V,V,F,V,V
Brazlândia,V,V,V,V,F,V,F,F,V,F,V,V,F,V,V
Ceilândia,V,F,V,F,V,V,F,F,V,F,V,V,F,V,F
Gama,V,F,V,F,F,F,F,V,V,F,V,V,V,V,F
Jardim,V,F,V,F,F,V,V,F,V,V,F,V,F,V,F
PAD-DF,V,F,V,F,F,F,F,F,V,V,V,V,F,V,V
Paranoá,V,F,V,F,F,V,F,F,V,F,V,V,F,V,V
Pipiripau,V,F,V,F,F,V,F,V,V,F,F,V,V,V,V
Planaltina,V,F,V,F,F,V,F,V,V,F,V,V,F,V,V
São Sebastião,V,F,V,F,F,F,F,F,V,F,V,V,V,V,F
Soradinho,V,F,V,F,F,F,F,F,V,F,V,V,F,V,V
Tabatinga,V,F,V,F,F,V,F,F,V,F,V,V,V,V,V
Taquara,V,F,V,F,F,F,F,F,V,F,V,V,V,V,F
Vargem Bonita,V,F,V,F,F,F,F,F,V,F,V,V,V,V,V